timestamp,estimated_stock_percent,quantity,sensor_temp,unit_price,day,dayofweek,year,month,hour,category_baby products,category_baked goods,category_baking,category_beverages,category_canned foods,category_cheese,category_cleaning products,category_condiments and sauces,category_dairy,category_frozen,category_fruit,category_kitchen,category_meat,category_medicine,category_packaged foods,category_personal care,category_pets,category_refrigerated items,category_seafood,category_snacks,category_spices and herbs,category_vegetables
2022-03-01 09:00:00,0.89,3.0,-0.0288498,11.19,1,1,2022,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-03-01 09:00:00,0.14,3.0,-0.0288498,1.49,1,1,2022,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-03-01 09:00:00,0.35,3.0,-0.0288498,3.99,1,1,2022,3,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-03-01 09:00:00,0.48,1.0,-0.0288498,8.19,1,1,2022,3,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-01 09:00:00,0.67,6.0,-0.0288498,1.49,1,1,2022,3,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-03-01 09:00:00,0.88,3.0,-0.0288498,8.19,1,1,2022,3,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-01 09:00:00,0.5,3.0,-0.0288498,18.49,1,1,2022,3,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-03-01 09:00:00,0.363333,2.0,-0.0288498,6.19,1,1,2022,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2022-03-01 09:00:00,0.65,2.0,-0.0288498,5.49,1,1,2022,3,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-01 09:00:00,0.5,2.0,-0.0288498,6.19,1,1,2022,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
